odorant,strength
3-hexanone,0.89888995885849
ethyl (s)-(+)-3-hydroxybutanoate,0.8575039505958557
3-penten-2-one,0.8175665140151978
ethyl propionate,0.8119889497756958
2-hexanol,0.746662974357605
propyl acetate,0.7074469923973083
beta-butyrolactone,0.6872302293777466
ethyl acetate,0.6615718603134155
methyl acetate,0.5736784934997559
ethyl butyrate,0.5266933441162109
prop-2-enyl acetate,0.3574114143848419
methyl 2-methylpropanoate,0.34668558835983276
"2,3-butanedione",0.3422064781188965
ethyl prop-2-enoate,0.318769246339798
diethyl oxalate,0.318769246339798
pentyl acetate,0.3068251311779022
ethyl 2-methylbutanoate,0.3026994466781616
(2r)-hexan-2-ol,0.27172720432281494
isopropyl butyrate,0.27146634459495544
methyl propionate,0.2644312083721161
putrescine,0.2586148679256439
isopentyl acetate,0.23491095006465912
ethyl 3-methylsulfanylpropanoate,0.22903041541576385
e2-hexenyl acetate,0.22884511947631836
1-hexanol,0.22679953277111053
water,0.22455760836601257
isoamyl tiglate,0.2051163911819458
2-hexanone,0.2044108361005783
z2-hexenol,0.20137712359428406
butyl propanoate,0.1944916546344757
z3-hexenol,0.19030654430389404
pentaerythritol tetranitrate,0.17585130035877228
diethyl phosphite,0.17585130035877228
propanal,0.1750829964876175
octane,0.17476052045822144
ethyl 4-oxopentanoate,0.17379681766033173
ethyl pentanoate,0.17376302182674408
heptyl acetate,0.1683741807937622
propanoic acid,0.16389794647693634
6-methyl-5-hepten-2-one,0.15181340277194977
diazinon,0.1478794813156128
"hexa-2,4-dien-1-ol",0.13874277472496033
butylamine,0.13874277472496033
1-hexen-3-ol,0.13300451636314392
4-propenyl anisole,0.1327587068080902
(2s)-heptan-2-ol,0.13156621158123016
acetaldehyde,0.13089799880981445
cyclotrimethylenetrinitramine,0.12862497568130493
endosulfan,0.12862497568130493
octyl acetate,0.12756216526031494
heptane,0.12732569873332977
nonane,0.12483915686607361
pentanoic acid,0.11730705946683884
octanoic acid,0.11502394080162048
3-octanol,0.11424559354782104
ammonium hydroxide,0.11258115619421005
2-methylphenol,0.11193900555372238
nonanoic acid,0.1109350174665451
heptanoic acid,0.11016380041837692
hexanoic acid,0.10964882373809814
decanol,0.10706359148025513
hexyl acetate,0.10602451115846634
decanal,0.10367559641599655
nitroglycerin,0.10160990804433823
benzaldehyde,0.1002533808350563
oil,0.09861475229263306
eugenol,0.09839720278978348
benzyl alcohol,0.09733108431100845
octanal,0.09706397354602814
ethyl isovalerate,0.095724917948246
2-heptanone,0.0952068567276001
cyclohexanone,0.09467295557260513
hexyl butyrate,0.09464932233095169
2-butanone,0.09447252750396729
e2-hexenal,0.09192720055580139
"2,4,6-trinitrotoluene",0.08929833024740219
methyldiethanolamine,0.08929833024740219
gamma-propyl-gamma-butyrolactone,0.08810815215110779
1-octen-3-ol,0.08776075392961502
phenethyl alcohol,0.08533405512571335
iso-eugenol,0.08309198170900345
alpha-ionone,0.08252813667058945
4-methoxybenzaldehyde,0.07940185070037842
geranyl acetate,0.07886562496423721
beta-ionone,0.07623028755187988
isobutyric acid,0.07212167233228683
1-butanol,0.06992094218730927
methyl salicylate,0.06722195446491241
ethyl 3-hydroxyhexanoate,0.0657866969704628
1-heptanol,0.0650533139705658
4-methylphenol,0.0650225505232811
acetophenone,0.06481795012950897
"4-allyl-1,2-dimethoxybenzene",0.0616365484893322
(-)-alpha-thujone,0.06048261746764183
alpha-bisabolol,0.058567795902490616
1-nonanol,0.05709036439657211
(-)-trans-caryophyllene,0.054992806166410446
ethyl (r)-(-)-3-hydroxybutanoate,0.05267084762454033
sfr,0.05159473046660423
acetone,0.04938497021794319
4-methoxybenzene,0.04880273714661598
nitromethane,0.044453516602516174
2-ethyl-1-hexanol,0.044453516602516174
nonanal,0.044374991208314896
(r)-(+)-limonene,0.042872365564107895
4-isopropylbenzaldehyde,0.042233988642692566
hexyl methanoate,0.04150279238820076
4-methylcyclohexanol,0.040053416043519974
pentanal,0.04003232344985008
(1r)-(-)-myrtenal,0.04003232344985008
(1r)-(-)-fenchone,0.03939204290509224
butyric acid,0.03824545815587044
"1,8-cineole",0.03749735280871391
(+)-alpha-pinene,0.03733041509985924
3-methyl-butanol,0.03405299037694931
acetic acid,0.03307994827628136
phenylacetaldehyde,0.032071102410554886
nonanone,0.03154937922954559
methyl 3-hydroxy hexanoate,0.031358059495687485
indole,0.031244995072484016
ammonia,0.031244995072484016
e2-hexenol,0.031244995072484016
pyrrolidine,0.031244995072484016
e2-octenal,0.031244995072484016
ethanolamine,0.031244995072484016
2-isobutyl-3-methoxypyrazine,0.031244995072484016
3-methylthio-1-propanol,0.031244995072484016
propanethiol,0.031244995072484016
dipropyldisulphide,0.031244995072484016
triethyl phosphite,0.030956583097577095
phenylacetone,0.02939850650727749
gamma-valerolactone,0.02892604097723961
carbon dioxide,0.02814011089503765
"2,3-dimethyl-2,3-dinitrobutane",0.027667367830872536
acetic anhydride,0.027667367830872536
sulfur,0.027667367830872536
ethyldiethanolamine,0.027667367830872536
triacetone triperoxide,0.025711772963404655
hexamethylene triperoxide-diamine,0.025711772963404655
safrole,0.025711772963404655
ethyl 2-methyl-2e-butenoate,0.025618435814976692
chlorine,0.025284644216299057
1-phenyl-2-nitropropene,0.025284644216299057
(s)-(-)-citronellal,0.025235794484615326
hexamine,0.024857517331838608
(s)-(+)-carvone,0.02485315129160881
hydrogen peroxide,0.024643952026963234
formamide,0.02400325983762741
nitric acid,0.023789696395397186
geraniol,0.02370522730052471
(r)-(+)-pulegon,0.023322585970163345
potassium perchlorate,0.02293544076383114
sodium perchlorate,0.02293544076383114
isopropyl tiglate,0.021582985296845436
4-octanol,0.02149268053472042
2-methyl butyl acetate,0.020679932087659836
methyl tiglate,0.02040901593863964
"2,3-butanediol",0.020138099789619446
butanal,0.02004779316484928
(r)-(-)-carvone,0.01968657225370407
z3-hexenyl acetate,0.01950596086680889
2-heptanol,0.01896413043141365
2-propylphenol,0.0162549689412117
hexanal,0.014719776809215546
heptanal,0.012462141923606396
ethyl benzoate,0.011468783020973206
alpha-terpineol,0.010836645029485226
linalool,0.009466767311096191
benzonitrile,0.007856568321585655
"e,e-farnesol",0.006140765734016895
furfural,0.0029800774063915014
2-octanone,0.002889772178605199
2-ethylphenol,0.0019867182709276676
