door_name,flywire_glomerulus,mapping_pathway,source_name,source_year,source_url_or_doi,evidence_note,confidence,is_ambiguous,life_stage,is_larval,receptor_genes
Gr21a.Gr63a,ORN_V,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Ir31a,ORN_VL2p,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Ir41a,ORN_VC5,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Ir64a.DC4,ORN_DC4,manual_override,DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016),2016,10.1038/srep21841,Override: enforce dotted-suffix consistency (Ir64a.DC4 → DC4) and FlyWire ORN_ prefix.,high,No,Adult,No,
Ir64a.DP1m,ORN_DP1m,manual_override,DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016),2016,10.1038/srep21841,Override: enforce dotted-suffix consistency (Ir64a.DP1m → DP1m) and FlyWire ORN_ prefix.,high,No,Adult,No,
Ir75a,ORN_DP1l,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Ir75d,ORN_VL1,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Ir76a,ORN_VM4,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Ir84a,ORN_VL2a,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Ir92a,ORN_VM1,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or10a,ORN_DL1,manual_override,DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016),2016,10.1038/srep21841,Override: legacy toolkit CSV mapped Or10a to VC3l; DoOR.mappings assigns glomerulus DL1 (ab1D).,high,No,Adult,No,
Or13a,ORN_DC2,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or19a,ORN_DC1,door_mappings,DoOR.mappings (DoOR.data v2.0.0),2016,10.1038/srep21841,Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,high,No,Adult,No,
Or1a,,excluded_larval,DoOR.mappings (larval-only flag),2016,10.1038/srep21841,"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",high,No,Larval,Yes,
