common_name,inchikey,cas_number,chemical_formula
1-hexanol,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,111-27-3,C6H14O
1-octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,111-87-5,C8H18O
1-pentanol,JBKVHLHDHHXQEQ-UHFFFAOYSA-N,71-41-0,C5H12O
1-butanol,LRHPLDYGYMQRHN-UHFFFAOYSA-N,71-36-3,C4H10O
1-heptanol,BBMHARZCNPMIGG-UHFFFAOYSA-N,111-70-6,C7H16O
2-heptanone,CCCCCCC(C)=O,110-43-0,C7H14O
2-butanone,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,78-93-3,C4H8O
2-pentanone,NUKMQLZVNVDNJZ-UHFFFAOYSA-N,107-87-9,C5H10O
3-methylbutanol,PHTQWCKDNZKARW-UHFFFAOYSA-N,123-51-3,C5H12O
3-octanol,KYMHZPPSTULNAP-UHFFFAOYSA-N,589-98-0,C8H18O
4-methylphenol,CAWVYYBQSRXBPI-UHFFFAOYSA-N,106-44-5,C7H8O
acetaldehyde,IKHGUXGNUITLKF-UHFFFAOYSA-N,75-07-0,C2H4O
acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,64-19-7,C2H4O2
acetone,CSCPPACGZOOCGX-UHFFFAOYSA-N,67-64-1,C3H6O
acetophenone,KWOLFJPFCHCOCG-UHFFFAOYSA-N,98-86-2,C8H8O
benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,100-52-7,C7H6O
benzyl acetate,SESFRYSPDFLNCH-UHFFFAOYSA-N,140-11-4,C9H10O2
benzyl alcohol,WVDDGKGOMKODPV-UHFFFAOYSA-N,100-51-6,C7H8O
butyric acid,FERIUCNNQQJTOY-UHFFFAOYSA-N,107-92-6,C4H8O2
cis-3-hexen-1-ol,SUPRQPQLFJMLBX-PLNGDYQASA-N,928-96-1,C6H12O
citral,NTHXDFSQMIXGPV-UHFFFAOYSA-N,5392-40-5,C10H16O
CO2,CURLTUGMZLYLDI-UHFFFAOYSA-N,124-38-9,CO2
cyclohexanone,JHIVVAPYMSGYDF-UHFFFAOYSA-N,108-94-1,C6H10O
E2-hexenal,ANUHFOTSCLQKMF-ONEGZZNKSA-N,6728-26-3,C6H10O
ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,64-17-5,C2H6O
ethyl acetate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,141-78-6,C4H8O2
ethyl butyrate,NLXCNSHHJDBBDB-UHFFFAOYSA-N,105-54-4,C6H12O2
ethyl hexanoate,IMFCJBBAROZZRY-UHFFFAOYSA-N,123-66-0,C8H16O2
ethyl propanoate,FKRCODPIKNYEAC-UHFFFAOYSA-N,105-37-3,C5H10O2
eucalyptol,HGVPOWOAHALJHA-UHFFFAOYSA-N,470-82-6,C10H18O
eugenol,WWYNJERNGUHSAO-XUDSTZEESA-N,97-53-0,C10H12O2
fenchone,FZBMZZNOUIGIBI-NMOVXQKUSA-N,1195-79-5,C10H16O
geosmin,JGMJRLCPUUAPCZ-VSUBQVDWSA-N,19700-21-1,C12H22O
geranyl acetate,HIGQPQRQIQDZMP-DHZHZOJOSA-N,105-87-3,C12H20O2
hexanal,JARKCYVAAOWBJS-UHFFFAOYSA-N,66-25-1,C6H12O
hexanoic acid,FUZZWVXGSFPDMH-UHFFFAOYSA-N,142-62-1,C6H12O2
isoamyl acetate,MLFHJEHSLIIPHL-UHFFFAOYSA-N,123-92-2,C7H14O2
isopentyl acetate,MLFHJEHSLIIPHL-UHFFFAOYSA-N,123-92-2,C7H14O2
linalool,CTQNGGLPUBDAKN-UHFFFAOYSA-N,78-70-6,C10H18O
menthol,NOOLISFMXDJSKH-GTXVQYZPSA-N,89-78-1,C10H20O
methanol,OKKJLVBELUTLKV-UHFFFAOYSA-N,67-56-1,CH4O
methyl acetate,KUVDJJNVVGHFMF-UHFFFAOYSA-N,79-20-9,C3H6O2
methyl butyrate,DDMOUSALMHHKOS-UHFFFAOYSA-N,623-42-7,C5H10O2
methyl hexanoate,AQCDIIAORKRWCL-UHFFFAOYSA-N,106-70-7,C7H14O2
methyl laurate,XMGQYMWWDOXHJM-UHFFFAOYSA-N,111-82-0,C13H26O2
methyl salicylate,OSWPMRLSEDHDFF-UHFFFAOYSA-N,119-36-8,C8H8O3
pentyl acetate,PGMYKACGEOXYJE-UHFFFAOYSA-N,628-63-7,C7H14O2
phenol,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,108-95-2,C6H6O
phenylacetaldehyde,IRLKDBOZYBUZQI-UHFFFAOYSA-N,122-78-1,C8H8O
propionic acid,IUVKMZGDUIUOCP-UHFFFAOYSA-N,79-09-4,C3H6O2
propyl acetate,YKYONYBAUNKHLG-UHFFFAOYSA-N,109-60-4,C5H10O2
pyrrolidine,RWRDLPDLKQPQOW-UHFFFAOYSA-N,123-75-1,C4H9N
trans-2-hexenal,ANUHFOTSCLQKMF-HWKANZROSA-N,6728-26-3,C6H10O
valeric acid,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,109-52-4,C5H10O2
vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,121-33-5,C8H8O3
water,XLYOFNOQVPJJNP-UHFFFAOYSA-N,7732-18-5,H2O
