common_name,inchikey,alternative_names
SFR,SFR,
Water,XLYOFNOQVPJJNP-UHFFFAOYSA-N,
Ammonium Hydroxide,VHUUQVKOLVNVRT-UHFFFAOYSA-N,
Putrescine,KIDHWZJUCRJVML-UHFFFAOYSA-N,
Cadaverine,VHRGRCVQAFMJIZ-UHFFFAOYSA-N,
Ammonia,QGZKDVFQNNGYKY-UHFFFAOYSA-N,
Ethanolamine,HZAXFHJVJLSVMW-UHFFFAOYSA-N,
1-Heptanamine,WJYIASZWHGOTOU-UHFFFAOYSA-N,
Isoamylamine,BMFVGAAISNGQNM-UHFFFAOYSA-N,
Dimethylamine,ROSDSFDQCJNGOL-UHFFFAOYSA-N,
Gamma-Butyrolactone,YEJRWHAVMIAJKC-UHFFFAOYSA-N,
gamma-Hexalactone,JBFHTYHTHYHCDJ-UHFFFAOYSA-N,
gamma-Octalactone,IPBFYZQJXZJBFQ-UHFFFAOYSA-N,
Gamma-Decalactone,IFYYFLINQYPWGJ-UHFFFAOYSA-N,
delta-Decalactone,GHBSPIPJMLAMEP-UHFFFAOYSA-N,
Formic Acid,BDAGIHXWWSANSR-UHFFFAOYSA-N,
Acetic Acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,
Propionic Acid,XBDQKXXYIPTUBI-UHFFFAOYSA-N,
Butyric Acid,FERIUCNNQQJTOY-UHFFFAOYSA-N,
Pentanoic Acid,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,
Hexanoic Acid,FUZZWVXGSFPDMH-UHFFFAOYSA-N,
Heptanoic Acid,MNWFXJYAOYHMED-UHFFFAOYSA-N,
Octanoic Acid,WWZKQHOCKIZLMA-UHFFFAOYSA-N,
Nonanoic Acid,FBUKVWPVBMHYJY-UHFFFAOYSA-N,
Linoleic Acid,OYHQOLUKZRVURQ-HZJYTTRNSA-N,
Isobutyric Acid,KQNPFQTWMSNSAP-UHFFFAOYSA-N,
Isovaleric Acid,GWYFCOCPABKNJV-UHFFFAOYSA-N,
Pyruvic Acid,LCTONWCANYUPML-UHFFFAOYSA-N,
2-Ethylhexanoic Acid,OBETXYAYXDNJHR-UHFFFAOYSA-N,
Lactic Acid,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,
3-(Methylthio)-1-propanol,CZUGFKJYCPYHHV-UHFFFAOYSA-N,
Dimethyl Sulfide,QMMFVYPAHWMCMS-UHFFFAOYSA-N,
Dipropyl disulfide,ALVPFGSHPUPROW-UHFFFAOYSA-N,
Propyl mercaptan,SUVIGLJNEAMWEG-UHFFFAOYSA-N,
Terpinolene,MOYAFQVGZZPNRA-UHFFFAOYSA-N,
(+-)-alpha-Pinene,GRWFGVWFFZKLTI-UHFFFAOYSA-N,
Beta-Pinene,WTARULDDTDQWMU-UHFFFAOYSA-N,
3-Carene,BQOFWKZOCNGFEC-UHFFFAOYSA-N,
1-Methyl-4-Prop-1-En-2-Ylcyclohexene,XMGQYMWWDOXHJM-UHFFFAOYSA-N,
Humulene,FAMPSKZZVDUYOS-HRGUGZIWSA-N,
Myrcene,UAHWPYUMFXYFJY-UHFFFAOYSA-N,
(-)-Caryophyllene,NPNUFJAVOOONJE-GFUGXAQUSA-N,
P-Cymene,HFPZCAJZSCWRBC-UHFFFAOYSA-N,
Geranyl Acetate,HIGQPQRQIQDZMP-DHZHZOJOSA-N,
(L)-alpha-terpineol,WUOACPNHFRMFPN-SECBINFHSA-N,
Geraniol,GLZPCOQZEFWAFX-JXMROGBWSA-N,
Nerol,GLZPCOQZEFWAFX-YFHOEESVSA-N,
Linalool,CDOSHBSSFJOMGT-UHFFFAOYSA-N,
"beta-CITRONELLOL, (R)-",QMVPMAAFGQKVCJ-SNVBAGLBSA-N,
"Linalool, oxide",BRHDDEIRQPDPMG-UHFFFAOYSA-N,
"Carvone, (-)-",ULDHMXUKGWMISQ-SECBINFHSA-N,
"Carvone, (+)-",ULDHMXUKGWMISQ-VIFPVBQESA-N,
WEEGYLXZBRQIMU-WAAGHKOSSA-N,WEEGYLXZBRQIMU-WAAGHKOSSA-N,
