common_name,inchikey,alternative_names
SFR,SFR,
XLYOFNOQVPJJNP-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,
VHUUQVKOLVNVRT-UHFFFAOYSA-N,VHUUQVKOLVNVRT-UHFFFAOYSA-N,
KIDHWZJUCRJVML-UHFFFAOYSA-N,KIDHWZJUCRJVML-UHFFFAOYSA-N,
VHRGRCVQAFMJIZ-UHFFFAOYSA-N,VHRGRCVQAFMJIZ-UHFFFAOYSA-N,
QGZKDVFQNNGYKY-UHFFFAOYSA-N,QGZKDVFQNNGYKY-UHFFFAOYSA-N,
HZAXFHJVJLSVMW-UHFFFAOYSA-N,HZAXFHJVJLSVMW-UHFFFAOYSA-N,
WJYIASZWHGOTOU-UHFFFAOYSA-N,WJYIASZWHGOTOU-UHFFFAOYSA-N,
BMFVGAAISNGQNM-UHFFFAOYSA-N,BMFVGAAISNGQNM-UHFFFAOYSA-N,
ROSDSFDQCJNGOL-UHFFFAOYSA-N,ROSDSFDQCJNGOL-UHFFFAOYSA-N,
YEJRWHAVMIAJKC-UHFFFAOYSA-N,YEJRWHAVMIAJKC-UHFFFAOYSA-N,
JBFHTYHTHYHCDJ-UHFFFAOYSA-N,JBFHTYHTHYHCDJ-UHFFFAOYSA-N,
IPBFYZQJXZJBFQ-UHFFFAOYSA-N,IPBFYZQJXZJBFQ-UHFFFAOYSA-N,
IFYYFLINQYPWGJ-UHFFFAOYSA-N,IFYYFLINQYPWGJ-UHFFFAOYSA-N,
GHBSPIPJMLAMEP-UHFFFAOYSA-N,GHBSPIPJMLAMEP-UHFFFAOYSA-N,
BDAGIHXWWSANSR-UHFFFAOYSA-N,BDAGIHXWWSANSR-UHFFFAOYSA-N,
QTBSBXVTEAMEQO-UHFFFAOYSA-N,QTBSBXVTEAMEQO-UHFFFAOYSA-N,
XBDQKXXYIPTUBI-UHFFFAOYSA-N,XBDQKXXYIPTUBI-UHFFFAOYSA-N,
FERIUCNNQQJTOY-UHFFFAOYSA-N,FERIUCNNQQJTOY-UHFFFAOYSA-N,
NQPDZGIKBAWPEJ-UHFFFAOYSA-N,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,
FUZZWVXGSFPDMH-UHFFFAOYSA-N,FUZZWVXGSFPDMH-UHFFFAOYSA-N,
MNWFXJYAOYHMED-UHFFFAOYSA-N,MNWFXJYAOYHMED-UHFFFAOYSA-N,
WWZKQHOCKIZLMA-UHFFFAOYSA-N,WWZKQHOCKIZLMA-UHFFFAOYSA-N,
FBUKVWPVBMHYJY-UHFFFAOYSA-N,FBUKVWPVBMHYJY-UHFFFAOYSA-N,
OYHQOLUKZRVURQ-HZJYTTRNSA-N,OYHQOLUKZRVURQ-HZJYTTRNSA-N,
KQNPFQTWMSNSAP-UHFFFAOYSA-N,KQNPFQTWMSNSAP-UHFFFAOYSA-N,
GWYFCOCPABKNJV-UHFFFAOYSA-N,GWYFCOCPABKNJV-UHFFFAOYSA-N,
LCTONWCANYUPML-UHFFFAOYSA-N,LCTONWCANYUPML-UHFFFAOYSA-N,
OBETXYAYXDNJHR-UHFFFAOYSA-N,OBETXYAYXDNJHR-UHFFFAOYSA-N,
JVTAAEKCZFNVCJ-UHFFFAOYSA-N,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,
CZUGFKJYCPYHHV-UHFFFAOYSA-N,CZUGFKJYCPYHHV-UHFFFAOYSA-N,
QMMFVYPAHWMCMS-UHFFFAOYSA-N,QMMFVYPAHWMCMS-UHFFFAOYSA-N,
ALVPFGSHPUPROW-UHFFFAOYSA-N,ALVPFGSHPUPROW-UHFFFAOYSA-N,
SUVIGLJNEAMWEG-UHFFFAOYSA-N,SUVIGLJNEAMWEG-UHFFFAOYSA-N,
MOYAFQVGZZPNRA-UHFFFAOYSA-N,MOYAFQVGZZPNRA-UHFFFAOYSA-N,
GRWFGVWFFZKLTI-UHFFFAOYSA-N,GRWFGVWFFZKLTI-UHFFFAOYSA-N,
WTARULDDTDQWMU-UHFFFAOYSA-N,WTARULDDTDQWMU-UHFFFAOYSA-N,
BQOFWKZOCNGFEC-UHFFFAOYSA-N,BQOFWKZOCNGFEC-UHFFFAOYSA-N,
XMGQYMWWDOXHJM-UHFFFAOYSA-N,XMGQYMWWDOXHJM-UHFFFAOYSA-N,
FAMPSKZZVDUYOS-HRGUGZIWSA-N,FAMPSKZZVDUYOS-HRGUGZIWSA-N,
UAHWPYUMFXYFJY-UHFFFAOYSA-N,UAHWPYUMFXYFJY-UHFFFAOYSA-N,
NPNUFJAVOOONJE-GFUGXAQUSA-N,NPNUFJAVOOONJE-GFUGXAQUSA-N,
HFPZCAJZSCWRBC-UHFFFAOYSA-N,HFPZCAJZSCWRBC-UHFFFAOYSA-N,
HIGQPQRQIQDZMP-DHZHZOJOSA-N,HIGQPQRQIQDZMP-DHZHZOJOSA-N,
WUOACPNHFRMFPN-SECBINFHSA-N,WUOACPNHFRMFPN-SECBINFHSA-N,
GLZPCOQZEFWAFX-JXMROGBWSA-N,GLZPCOQZEFWAFX-JXMROGBWSA-N,
GLZPCOQZEFWAFX-YFHOEESVSA-N,GLZPCOQZEFWAFX-YFHOEESVSA-N,
CDOSHBSSFJOMGT-UHFFFAOYSA-N,CDOSHBSSFJOMGT-UHFFFAOYSA-N,
QMVPMAAFGQKVCJ-SNVBAGLBSA-N,QMVPMAAFGQKVCJ-SNVBAGLBSA-N,
BRHDDEIRQPDPMG-UHFFFAOYSA-N,BRHDDEIRQPDPMG-UHFFFAOYSA-N,
ULDHMXUKGWMISQ-SECBINFHSA-N,ULDHMXUKGWMISQ-SECBINFHSA-N,
ULDHMXUKGWMISQ-VIFPVBQESA-N,ULDHMXUKGWMISQ-VIFPVBQESA-N,
WEEGYLXZBRQIMU-WAAGHKOSSA-N,WEEGYLXZBRQIMU-WAAGHKOSSA-N,
RFFOTVCVTJUTAD-UHFFFAOYSA-N,RFFOTVCVTJUTAD-UHFFFAOYSA-N,
WTEVQBCEXWBHNA-JXMROGBWSA-N,WTEVQBCEXWBHNA-JXMROGBWSA-N,
NEHNMFOYXAPHSD-JTQLQIEISA-N,NEHNMFOYXAPHSD-JTQLQIEISA-N,
LHXDLQBQYFFVNW-OIBJUYFYSA-N,LHXDLQBQYFFVNW-OIBJUYFYSA-N,
XMGQYMWWDOXHJM-JTQLQIEISA-N,XMGQYMWWDOXHJM-JTQLQIEISA-N,
NFLGAXVYCFJBMK-BDAKNGLRSA-N,NFLGAXVYCFJBMK-BDAKNGLRSA-N,
KMRMUZKLFIEVAO-UHFFFAOYSA-N,KMRMUZKLFIEVAO-UHFFFAOYSA-N,
GRWFGVWFFZKLTI-RKDXNWHRSA-N,GRWFGVWFFZKLTI-RKDXNWHRSA-N,
NZGWDASTMWDZIW-MRVPVSSYSA-N,NZGWDASTMWDZIW-MRVPVSSYSA-N,
USMNOWBWPHYOEA-MRTMQBJTSA-N,USMNOWBWPHYOEA-MRTMQBJTSA-N,
RGZSQWQPBWRIAQ-CABCVRRESA-N,RGZSQWQPBWRIAQ-CABCVRRESA-N,
CRDAMVZIKSXKFV-YFVJMOTDSA-N,CRDAMVZIKSXKFV-YFVJMOTDSA-N,
UZFLPKAIBPNNCA-BQYQJAHWSA-N,UZFLPKAIBPNNCA-BQYQJAHWSA-N,
PSQYTAPXSHCGMF-BQYQJAHWSA-N,PSQYTAPXSHCGMF-BQYQJAHWSA-N,
XMGQYMWWDOXHJM-SNVBAGLBSA-N,XMGQYMWWDOXHJM-SNVBAGLBSA-N,
IKHGUXGNUITLKF-UHFFFAOYSA-N,IKHGUXGNUITLKF-UHFFFAOYSA-N,
NBBJYMSMWIIQGU-UHFFFAOYSA-N,NBBJYMSMWIIQGU-UHFFFAOYSA-N,
ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,
HGBOYTHUEUWSSQ-UHFFFAOYSA-N,HGBOYTHUEUWSSQ-UHFFFAOYSA-N,
JARKCYVAAOWBJS-UHFFFAOYSA-N,JARKCYVAAOWBJS-UHFFFAOYSA-N,
MBDOYVRWFFCFHM-SNAWJCMRSA-N,MBDOYVRWFFCFHM-SNAWJCMRSA-N,
HYBBIBNJHNGZAN-UHFFFAOYSA-N,HYBBIBNJHNGZAN-UHFFFAOYSA-N,
HGINCPLSRVDWNT-UHFFFAOYSA-N,HGINCPLSRVDWNT-UHFFFAOYSA-N,
NUJGJRNETVAIRJ-UHFFFAOYSA-N,NUJGJRNETVAIRJ-UHFFFAOYSA-N,
KSMVZQYAVGTKIV-UHFFFAOYSA-N,KSMVZQYAVGTKIV-UHFFFAOYSA-N,
FXHGMKSSBGDXIY-UHFFFAOYSA-N,FXHGMKSSBGDXIY-UHFFFAOYSA-N,
LVBXEMGDVWVTGY-VOTSOKGWSA-N,LVBXEMGDVWVTGY-VOTSOKGWSA-N,
GYHFUZHODSMOHU-UHFFFAOYSA-N,GYHFUZHODSMOHU-UHFFFAOYSA-N,
NDFKTBCGKNOHPJ-AATRIKPKSA-N,NDFKTBCGKNOHPJ-AATRIKPKSA-N,
CSCPPACGZOOCGX-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,
ZWEHNKRNPOVVGH-UHFFFAOYSA-N,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,
XNLICIUVMPYHGG-UHFFFAOYSA-N,XNLICIUVMPYHGG-UHFFFAOYSA-N,
CATSNJVOTSVZJV-UHFFFAOYSA-N,CATSNJVOTSVZJV-UHFFFAOYSA-N,
UHEPJGULSIKKTP-UHFFFAOYSA-N,UHEPJGULSIKKTP-UHFFFAOYSA-N,
QSJXEFYPDANLFS-UHFFFAOYSA-N,QSJXEFYPDANLFS-UHFFFAOYSA-N,
ROWKJAVDOGWPAT-UHFFFAOYSA-N,ROWKJAVDOGWPAT-UHFFFAOYSA-N,
LABTWGUMFABVFG-ARJAWSKDSA-N,LABTWGUMFABVFG-ARJAWSKDSA-N,
QQZOPKMRPOGIEB-UHFFFAOYSA-N,QQZOPKMRPOGIEB-UHFFFAOYSA-N,
PFCHFHIRKBAQGU-UHFFFAOYSA-N,PFCHFHIRKBAQGU-UHFFFAOYSA-N,
JHIVVAPYMSGYDF-UHFFFAOYSA-N,JHIVVAPYMSGYDF-UHFFFAOYSA-N,
ZPVFWPFBNIEHGJ-UHFFFAOYSA-N,ZPVFWPFBNIEHGJ-UHFFFAOYSA-N,
VKCYHJWLYTUGCC-UHFFFAOYSA-N,VKCYHJWLYTUGCC-UHFFFAOYSA-N,
NGAZZOYFWWSOGK-UHFFFAOYSA-N,NGAZZOYFWWSOGK-UHFFFAOYSA-N,
WRMNZCZEMHIOCP-UHFFFAOYSA-N,WRMNZCZEMHIOCP-UHFFFAOYSA-N,
WVDDGKGOMKODPV-UHFFFAOYSA-N,WVDDGKGOMKODPV-UHFFFAOYSA-N,
OSWPMRLSEDHDFF-UHFFFAOYSA-N,OSWPMRLSEDHDFF-UHFFFAOYSA-N,
QPJVMBTYPHYUOC-UHFFFAOYSA-N,QPJVMBTYPHYUOC-UHFFFAOYSA-N,
MTZQAGJQAFMTAQ-UHFFFAOYSA-N,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,
MDHYEMXUFSJLGV-UHFFFAOYSA-N,MDHYEMXUFSJLGV-UHFFFAOYSA-N,
HUMNYLRZRPPJDN-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N,
DTUQWGWMVIHBKE-UHFFFAOYSA-N,DTUQWGWMVIHBKE-UHFFFAOYSA-N,
KWOLFJPFCHCOCG-UHFFFAOYSA-N,KWOLFJPFCHCOCG-UHFFFAOYSA-N,
