receptor_name,is_mapped,flywire_glomerulus,life_stage,is_larval,status,notes,mapping_source,n_orns,n_pns_reached,pct_pns_reached,total_synapses_to_pns,n_kcs_reached,pct_kcs_reached,pathway_intact
Gr21a.Gr63a,Yes,ORN_V,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Ir31a,Yes,ORN_VL2p,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Ir41a,Yes,ORN_VC5,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Ir64a.DC4,Yes,ORN_DC4,Adult,No,Mapped (Adult),Override: enforce dotted-suffix consistency (Ir64a.DC4 → DC4) and FlyWire ORN_ prefix.,DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Ir64a.DP1m,Yes,ORN_DP1m,Adult,No,Mapped (Adult),Override: enforce dotted-suffix consistency (Ir64a.DP1m → DP1m) and FlyWire ORN_ prefix.,DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Ir75a,Yes,ORN_DP1l,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Ir75d,Yes,ORN_VL1,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Ir76a,Yes,ORN_VM4,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Ir84a,Yes,ORN_VL2a,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Ir92a,Yes,ORN_VM1,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Or10a,Yes,ORN_DL1,Adult,No,Mapped (Adult),Override: legacy toolkit CSV mapped Or10a to VC3l; DoOR.mappings assigns glomerulus DL1 (ab1D).,DoOR.mappings (DoOR.data v2.0.0; Münch & Galizia 2016) (2016) [10.1038/srep21841],70,6,0.713436385255648,3.7729235,60,9.86842105263158,True
Or13a,Yes,ORN_DC2,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],33,8,0.9512485136741974,3.4024622,24,3.947368421052632,True
Or19a,Yes,ORN_DC1,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],24,6,0.713436385255648,2.0060806,74,12.171052631578949,True
Or1a,No,,Larval,Yes,Unmapped (Larval),"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",DoOR.mappings (larval-only flag) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Or22a,Yes,ORN_DM2,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],1,4,0.4756242568370987,2.7234042,72,11.842105263157896,True
Or22b,Yes,ORN_DM2,Adult,No,Mapped (Adult),Mapped at glomerulus level (DM2). Note: FlyWire ORN_ labels are glomerulus-level; Or22a/Or22b gene-level distinction is not captured in ORN_DM2. Optional strict single-cell mode can exclude Or22b as sensitivity analysis.,DoOR 2.0 receptor→glomerulus mapping (Münch & Galizia 2016) (2016) [10.1038/srep21841],1,4,0.4756242568370987,2.7234042,72,11.842105263157896,True
Or22c,No,,Larval,Yes,Unmapped (Larval),"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",DoOR.mappings (larval-only flag) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Or23a,Yes,ORN_DA3,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],29,5,0.5945303210463734,3.0753424,9,1.480263157894737,True
Or24a,No,,Larval,Yes,Unmapped (Larval),"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",DoOR.mappings (larval-only flag) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Or2a,Yes,ORN_DA4m,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],43,8,0.9512485136741974,2.0021474,45,7.401315789473684,True
Or30a,No,,Larval,Yes,Unmapped (Larval),"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",DoOR.mappings (larval-only flag) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Or33a,Yes,ORN_DA2,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],40,18,2.140309155766944,9.258824,27,4.440789473684211,True
Or33b,No,,Adult,No,Ambiguous (Adult - exclude or resolve),"Ambiguous DoOR glomerulus code 'DM5+DM3' expanded to candidates. | Candidates: ORN_DM3, ORN_DM5",DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],3,7,0.8323424494649228,4.25,116,19.07894736842105,True
Or33c,Yes,ORN_VC1,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],33,8,0.9512485136741974,1.9701492,70,11.513157894736842,True
Or35a,Yes,ORN_VC3,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],1,6,0.713436385255648,4.2,79,12.99342105263158,True
Or42a,Yes,ORN_VM7d,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],38,19,2.2592152199762188,4.4604206,70,11.513157894736842,True
Or42b,Yes,ORN_DM1,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],92,16,1.9024970273483948,2.1088243,200,32.89473684210526,True
Or43a,Yes,ORN_DA4l,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],41,21,2.4970273483947683,2.42842,75,12.335526315789474,True
Or43b,Yes,ORN_VM2,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],37,9,1.070154577883472,3.3923445,56,9.210526315789474,True
Or45a,No,,Larval,Yes,Unmapped (Larval),"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",DoOR.mappings (larval-only flag) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Or45b,No,,Larval,Yes,Unmapped (Larval),"Larval-only responding unit in DoOR.mappings (adult=False, larva=True); excluded from adult FlyWire analyses.",DoOR.mappings (larval-only flag) (2016) [10.1038/srep21841],0,0,0.0,0.0,0,0.0,False
Or46a,Yes,ORN_VA7l,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],15,6,0.713436385255648,1.8032377,32,5.2631578947368425,True
Or47a,Yes,ORN_DM3,Adult,No,Mapped (Adult),Single glomerulus code in DoOR.mappings; converted to FlyWire ORN_<glomerulus> label convention.,DoOR.mappings (DoOR.data v2.0.0) (2016) [10.1038/srep21841],62,2,0.2378121284185493,1.8199663,69,11.348684210526317,True
