receptor,flywire_target
Gr21a.Gr63a,ORN_V
Ir31a,ORN_VL2p
Ir41a,ORN_VC5
Ir64a.DC4,ORN_DC4
Ir64a.DP1m,ORN_DP1m
Ir75a,ORN_DP1l
Ir75d,ORN_VL1
Ir76a,ORN_VM4
Ir84a,ORN_VL2a
Ir92a,ORN_VM1
Or10a,ORN_DL1
Or13a,ORN_DC2
Or19a,ORN_DC1
Or22a,ORN_DM2
Or22b,ORN_DM2
Or23a,ORN_DA3
Or2a,ORN_DA4m
Or33a,ORN_DA2
Or33c,ORN_VC1
Or35a,ORN_VC3
Or42a,ORN_VM7d
Or42b,ORN_DM1
Or43a,ORN_DA4l
Or43b,ORN_VM2
Or46a,ORN_VA7l
Or47a,ORN_DM3
Or47b,ORN_VA1v
Or49a,ORN_DL4
Or49b,ORN_VA5
Or59b,ORN_DM4
Or59c,ORN_VM7v
Or65a,ORN_DL3
Or67a,ORN_DM6
Or67b,ORN_VA3
Or67c,ORN_VC4
Or67d,ORN_DA1
Or69a,ORN_D
Or71a,ORN_VC2
Or7a,ORN_DL5
Or82a,ORN_VA6
Or83c,ORN_DC3
Or85a,ORN_DM5
Or85b,ORN_VM5d
Or85d,ORN_VA4
Or85e,ORN_VC1
Or85f,ORN_DL4
Or88a,ORN_VA1d
Or92a,ORN_VA2
Or98a,ORN_VM5v
Or9a,ORN_VM3
ab2B,ORN_DM5
ab4B,ORN_DA2
ab5B,ORN_DM3
ac3B,ORN_VC3
pb2A,ORN_VC1
