drawn_index,display_label,side,centroid_x,centroid_y,manual_assigned_glomerulus,top_door_match,vertices_x,vertices_y,response_Apple_Cider_Vinegar,response_Benzaldehyde,response_Citral,response_Hexanol,response_Linalool,response_3-Octanol,response_Ethyl_Butyrate
0,L1,L,1074.68,1473.02,VA2,VC1,1070.6;1094.6;1114.9;1126.9;1123.2;1112.2;1079.0;1053.1;1035.6;1035.6;1032.8;1038.3;1054.0,1433.8;1429.2;1437.5;1455.1;1491.1;1515.1;1522.4;1516.9;1504.9;1486.4;1468.9;1447.7;1440.3,0.021631,0.008781,0.008119,0.038028,0.022513,0.022789,0.018024
1,L2,L,1067.06,1366.32,DM5,VC1,1076.6;1084.2;1095.0;1103.6;1102.5;1097.1;1098.2;1086.3;1074.4;1059.3;1029.1;1024.7;1025.8;1031.2;1037.7;1049.6;1064.7,1317.7;1323.1;1332.8;1347.9;1372.8;1393.3;1412.8;1423.6;1429.0;1430.1;1414.9;1377.1;1358.8;1336.1;1325.3;1315.5;1316.6,0.026702,0.021538,0.016750,0.039181,0.022206,0.030126,0.037562
2,L3,L,1114.39,1296.37,DM2,VC1,1102.8;1117.8;1129.1;1139.4;1145.1;1145.1;1145.1;1140.4;1140.4;1135.7;1129.1;1114.1;1098.1;1082.1;1069.0;1065.2;1074.6;1085.9,1247.5;1249.4;1253.1;1265.3;1278.5;1290.7;1304.8;1315.1;1322.6;1332.0;1339.5;1348.0;1328.3;1316.0;1308.5;1296.3;1277.5;1261.6,0.071194,0.005863,0.031426,0.098684,0.057240,0.088875,0.106147
3,L4,L,1180.13,1429.63,VC3,VA7l,1138.5;1147.0;1158.2;1187.3;1207.1;1214.6;1218.3;1213.6;1207.1;1192.0;1139.4;1138.5,1428.8;1408.1;1396.8;1385.6;1390.3;1403.4;1429.7;1454.1;1466.3;1474.8;1474.8;1442.9,0.090723,0.050055,0.015440,0.020122,0.035397,0.035505,0.044116
4,L5,L,1275.75,1393.41,DC1,VA7l,1314.2;1310.4;1306.6;1297.2;1286.9;1278.5;1264.4;1255.0;1243.7;1236.2;1228.7;1227.7;1229.6;1232.4;1239.0;1244.6;1252.2;1262.5;1280.3;1296.3;1310.4;1327.3;1323.5;1327.3;1318.9,1387.4;1374.3;1362.1;1355.5;1348.9;1344.2;1342.3;1345.2;1349.9;1355.5;1372.4;1381.8;1395.9;1405.3;1415.6;1425.0;1431.6;1438.2;1442.9;1446.6;1444.7;1439.1;1424.1;1410.9;1395.9,0.056672,0.040750,-0.016507,0.004017,0.014254,0.022757,0.025652
5,L6,L,1242.93,1469.50,,VA7l,1232.4;1247.5;1265.3;1272.8;1267.2;1255.9;1244.6;1222.1;1215.5;1221.2;1227.7,1439.1;1444.7;1457.9;1471.0;1482.3;1488.9;1496.4;1491.7;1479.5;1462.6;1450.4,0.050701,0.039707,-0.004796,0.018592,0.006607,0.012552,0.018598
6,1,,1276.84,1124.29,,VC1,1248.4;1238.1;1231.5;1228.7;1239.9;1256.9;1277.5;1293.5;1307.6;1318.9;1321.7;1315.1;1306.6;1290.7;1277.5,1085.9;1099.1;1106.6;1140.4;1154.5;1167.6;1176.1;1170.4;1155.4;1134.8;1119.7;1100.9;1091.5;1083.1;1078.4,0.110553,0.071668,0.039378,0.093871,0.019879,0.109962,0.110855
7,2,,1221.02,1144.57,,VC1,1217.4;1193.9;1185.5;1193.0;1203.3;1217.4;1231.5;1246.5;1252.2;1241.8;1232.4;1226.8;1224.9;1227.7,1097.2;1108.5;1117.8;1147.0;1162.0;1178.0;1180.8;1178.0;1168.6;1165.8;1155.4;1137.6;1120.7;1106.6,0.135631,0.061682,0.066014,0.120952,0.100585,0.140362,0.098910
8,L7,L,1168.77,1146.03,,VC1,1159.2;1142.3;1122.5;1116.9;1121.6;1134.7;1140.4;1157.3;1169.5;1176.1;1178.9;1191.1;1198.6;1212.7;1221.2;1223.0;1199.6;1172.3,1165.8;1153.5;1150.7;1143.2;1129.1;1112.2;1103.8;1102.8;1107.5;1112.2;1120.7;1149.8;1161.1;1176.1;1185.5;1193.9;1186.4;1174.2,0.120382,0.026606,0.080254,0.123694,0.119227,0.128200,0.067989
9,L8,L,1201.83,1234.17,DM4,VC1,1224.0;1233.4;1234.3;1229.6;1212.7;1197.7;1183.6;1165.7;1160.1;1174.2;1196.7;1209.9,1202.4;1222.1;1240.9;1260.6;1274.7;1274.7;1271.0;1240.0;1220.2;1209.0;1198.6;1195.8,0.156714,0.005973,0.094716,0.152108,0.148218,0.223018,0.163880
10,L9,L,1331.89,1304.82,DP1m,VC1,1308.5;1334.8;1352.7;1360.2;1369.6;1374.3;1379.0;1373.3;1356.4;1343.3;1329.2;1317.9;1301.0;1284.1;1280.3;1284.1;1293.5,1267.2;1261.6;1258.7;1260.6;1276.6;1290.7;1313.2;1327.3;1333.9;1342.3;1350.8;1356.4;1344.2;1326.4;1305.7;1288.8;1277.5,0.056725,0.065051,0.047972,0.044920,0.060295,0.088776,0.080224
11,L10,L,1100.39,1582.36,VA7l,VA7l,1076.5;1067.1;1051.1;1041.7;1042.7;1064.3;1077.4;1095.3;1120.7;1141.3;1154.5;1167.6;1162.9;1142.3,1648.6;1647.6;1636.4;1622.3;1602.5;1577.2;1565.0;1541.5;1528.3;1529.3;1539.6;1556.5;1569.7;1588.5,0.014031,0.015036,0.004317,0.007197,0.010110,0.005987,0.002280
12,L11,L,1127.41,1647.44,VA7l,VA7l,1077.4;1162.0;1180.8;1187.3;1168.6;1129.1;1117.8;1091.5;1080.3;1079.3,1655.1;1575.3;1576.2;1581.9;1636.4;1690.8;1702.1;1703.1;1686.1;1667.4,0.013122,0.023827,0.000854,0.006165,0.008435,0.008873,0.003491
