source_glomerulus,target_glomerulus,strength_forward,strength_reverse,total_strength,asymmetry_ratio,num_pathways_forward,num_pathways_reverse
ORN_D,ORN_VM7v,0,84,84,-1.0,0,6
ORN_DA4m,ORN_VM7v,0,24,24,-1.0,0,2
ORN_DC1,ORN_VM7v,0,192,192,-1.0,0,14
ORN_DC3,ORN_VM7v,0,96,96,-1.0,0,6
ORN_DL5,ORN_VM7v,0,192,192,-1.0,0,14
ORN_DM1,ORN_VM7v,0,160,160,-1.0,0,14
ORN_DM4,ORN_VM7v,0,202,202,-1.0,0,16
ORN_DP1l,ORN_VM3,0,20,20,-1.0,0,2
ORN_DP1l,ORN_VM5v,0,28,28,-1.0,0,2
ORN_DP1l,ORN_VM7v,0,2232,2232,-1.0,0,118
ORN_V,ORN_VM7v,0,28,28,-1.0,0,2
ORN_VA3,ORN_VM7v,0,128,128,-1.0,0,10
ORN_VA7l,ORN_VM7v,0,48,48,-1.0,0,4
ORN_VC1,ORN_VM7v,0,168,168,-1.0,0,14
ORN_VC2,ORN_VM7v,0,206,206,-1.0,0,18
ORN_VC5,ORN_VM7v,0,84,84,-1.0,0,6
ORN_VL1,ORN_VM6v,0,24,24,-1.0,0,2
ORN_VL1,ORN_VM7v,0,20,20,-1.0,0,2
ORN_VL2a,ORN_VM7v,0,24,24,-1.0,0,2
ORN_VL2p,ORN_VM6v,0,98,98,-1.0,0,8
ORN_VL2p,ORN_VM7d,0,22,22,-1.0,0,2
ORN_VL2p,ORN_VM7v,0,530,530,-1.0,0,40
ORN_VM3,ORN_DP1l,20,0,20,1.0,2,0
ORN_VM5d,ORN_VM7v,0,108,108,-1.0,0,8
ORN_VM5v,ORN_DP1l,28,0,28,1.0,2,0
ORN_VM5v,ORN_VM7v,0,296,296,-1.0,0,24
ORN_VM6l,ORN_VM7v,0,256,256,-1.0,0,18
ORN_VM6m,ORN_VM7v,0,48,48,-1.0,0,4
ORN_VM6v,ORN_VL1,24,0,24,1.0,2,0
ORN_VM6v,ORN_VL2p,98,0,98,1.0,8,0
ORN_VM6v,ORN_VM7v,0,94,94,-1.0,0,8
ORN_VM7d,ORN_VL2p,22,0,22,1.0,2,0
ORN_VM7d,ORN_VM7v,0,476,476,-1.0,0,38
ORN_VM7v,ORN_D,84,0,84,1.0,6,0
ORN_VM7v,ORN_DA4m,24,0,24,1.0,2,0
ORN_VM7v,ORN_DC1,192,0,192,1.0,14,0
ORN_VM7v,ORN_DC3,96,0,96,1.0,6,0
ORN_VM7v,ORN_DL5,192,0,192,1.0,14,0
ORN_VM7v,ORN_DM1,160,0,160,1.0,14,0
ORN_VM7v,ORN_DM4,202,0,202,1.0,16,0
ORN_VM7v,ORN_DP1l,2232,0,2232,1.0,118,0
ORN_VM7v,ORN_V,28,0,28,1.0,2,0
ORN_VM7v,ORN_VA3,128,0,128,1.0,10,0
ORN_VM7v,ORN_VA7l,48,0,48,1.0,4,0
ORN_VM7v,ORN_VC1,168,0,168,1.0,14,0
ORN_VM7v,ORN_VC2,206,0,206,1.0,18,0
ORN_VM7v,ORN_VC5,84,0,84,1.0,6,0
ORN_VM7v,ORN_VL1,20,0,20,1.0,2,0
ORN_VM7v,ORN_VL2a,24,0,24,1.0,2,0
ORN_VM7v,ORN_VL2p,530,0,530,1.0,40,0
ORN_VM7v,ORN_VM5d,108,0,108,1.0,8,0
ORN_VM7v,ORN_VM5v,296,0,296,1.0,24,0
ORN_VM7v,ORN_VM6l,256,0,256,1.0,18,0
ORN_VM7v,ORN_VM6m,48,0,48,1.0,4,0
ORN_VM7v,ORN_VM6v,94,0,94,1.0,8,0
ORN_VM7v,ORN_VM7d,476,0,476,1.0,38,0
