source_root_id,label,connected_postsynaptic_root_ids,glomerulus,glomerulus_source,output_cell_ids,output_synapse_counts,total_output_synapses,num_output_targets,top_targets,neuropils_involved
720575940610131012,Or2a,,ORN_DA4m,consolidated_cell_types.csv.gz,720575940604352172;720575940631930828;720575940632505359;720575940616169578;720575940610131012;720575940623955637;720575940623788040;720575940621398254;720575940638128474;720575940632795532;720575940623650823;720575940610255058;720575940623636701;720575940611944914;720575940612461461;720575940611382195;720575940633741229;720575940660217473;720575940659447937;720575940623147959;720575940612907121;720575940637666446;720575940615171084;720575940622969096;720575940649045369;720575940637374441;720575940617514653;720575940623572164;720575940610669614;720575940633294796;720575940611379569;720575940627349860;720575940623218390;720575940640955637;720575940612149014;720575940636753118;720575940606751922;720575940637623780;720575940627927573;720575940631619921;720575940619931119;720575940633483807;720575940640803200;720575940616197819;720575940616758322;720575940627185064;720575940628420264;720575940634414231;720575940640986075;720575940624264340;720575940628683002;720575940629963855;720575940631236167;720575940628822248;720575940659844225;720575940622014090;720575940608345778;720575940624330281;720575940622070004;720575940632043832;720575940617586757;720575940623000858;720575940625249618;720575940619059102;720575940636599182;720575940627737365;720575940608241365;720575940631616056;720575940625056509,46;24;9;5;5;5;5;4;4;4;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,201,69,720575940604352172:46;720575940631930828:24;720575940632505359:9;720575940616169578:5;720575940610131012:5,AL_L;AL_R
720575940610255058,Or2a,,ORN_DA4m,consolidated_cell_types.csv.gz,720575940604352172;720575940631930828;720575940610255058;720575940644362788;720575940623788040;720575940621398254;720575940632505359;720575940654851489;720575940623650823;720575940617514653;720575940627185064;720575940659447937;720575940616169578;720575940612149014;720575940624330281;720575940637374441;720575940631975884;720575940649045369;720575940606722249;720575940617140765;720575940621449933;720575940622969096;720575940623973356;720575940633294796;720575940628343634;720575940629443628;720575940610131012;720575940614429165;720575940611671506;720575940619563429;720575940616758322;720575940612907121;720575940605758142;720575940618304670;720575940628420264;720575940617542996;720575940627349860;720575940634414231;720575940624450342;720575940619061662;720575940639260032;720575940640803200;720575940620774326;720575940644704160;720575940623572164;720575940620565313;720575940649743225;720575940659844225;720575940633741229;720575940616228213;720575940637136752;720575940624422643;720575940632043832;720575940617511169;720575940617299131;720575940620337072;720575940628822248;720575940615171084;720575940638128474;720575940635249332;720575940612461461;720575940614723495;720575940605391794;720575940660217473;720575940615513086;720575940631986499;720575940634545890;720575940624264340;720575940617629270;720575940634949311,49;25;11;9;9;6;6;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,234,70,720575940604352172:49;720575940631930828:25;720575940610255058:11;720575940644362788:9;720575940623788040:9,AL_L;AL_R;CRE_R
720575940611382195,Or2a,,ORN_DA4m,consolidated_cell_types.csv.gz,720575940604352172;720575940631930828;720575940632505359;720575940611382195;720575940623788040;720575940620774326;720575940624264340;720575940614429165;720575940613365650;720575940616169578;720575940612149014;720575940610131012;720575940631975884;720575940644362788;720575940608970197;720575940624487975;720575940634949311;720575940638128474;720575940637666446;720575940623650823;720575940659447937;720575940623572164;720575940622969096;720575940633741229;720575940611944914;720575940617511169;720575940631236167;720575940621398254;720575940622052521;720575940632043832;720575940649045369;720575940616831349;720575940631619921;720575940622920074;720575940623146701;720575940639260032;720575940606939849;720575940608345778;720575940649743225;720575940624450342;720575940621585279;720575940646576436;720575940640803200;720575940617514653;720575940635249332;720575940627737365;720575940625249618;720575940622014090;720575940629963855;720575940627349860;720575940623973356;720575940629443628;720575940621542747;720575940608241365;720575940610669614;720575940616228213;720575940631616056;720575940628822248;720575940605579110;720575940627927573;720575940623955637;720575940637374441;720575940630960780;720575940619931119;720575940634984372;720575940614019112;720575940615513086;720575940621668428;720575940612461461;720575940618158672,37;19;11;9;7;5;4;4;4;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,197,70,720575940604352172:37;720575940631930828:19;720575940632505359:11;720575940611382195:9;720575940623788040:7,AL_L;AL_R
720575940612149014,Or2a,,ORN_DA4m,consolidated_cell_types.csv.gz,720575940604352172;720575940631930828;720575940612149014;720575940632505359;720575940616169578;720575940623650823;720575940611382195;720575940616831349;720575940627927573;720575940622969096;720575940624264340;720575940623788040;720575940618304670;720575940631975884;720575940627185064;720575940631899223;720575940613365650;720575940617514653;720575940644362788;720575940625249618;720575940628822248;720575940623147959;720575940639260032;720575940638128474;720575940610669614;720575940617511169;720575940660217473;720575940622052521;720575940632795532;720575940605758142;720575940637136752;720575940620774326;720575940632803212;720575940627690246;720575940640986075;720575940610131012;720575940635249332;720575940633483807;720575940628420264;720575940654851489;720575940612475598;720575940614723495;720575940608345778;720575940659844225;720575940623572164;720575940623955637;720575940610255058;720575940649045369;720575940637374441;720575940623205705;720575940634303132;720575940629963855;720575940634545890;720575940646576436;720575940625977802;720575940613127343;720575940616228213;720575940649154681;720575940631619921;720575940637666446;720575940628343634;720575940631479570;720575940631445010;720575940619059102;720575940637846947;720575940619563429;720575940636753118;720575940633741229;720575940610384226;720575940616959778;720575940626859797;720575940632043832;720575940620337072;720575940622625279;720575940640955637;720575940632198442;720575940623248883;720575940623000858;720575940628914436;720575940611944914,54;24;11;8;7;6;5;5;5;5;5;4;4;4;4;4;4;4;4;4;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,260,80,720575940604352172:54;720575940631930828:24;720575940612149014:11;720575940632505359:8;720575940616169578:7,AL_L;AL_R;CRE_R
720575940613127343,Or2a,,ORN_DA4m,consolidated_cell_types.csv.gz,720575940631930828;720575940604352172;720575940613127343;720575940632505359;720575940622052521;720575940617542996;720575940636753118;720575940644362788;720575940640803200;720575940608970197;720575940633294796;720575940621585279;720575940623650823;720575940626115134;720575940634984372;720575940605758142;720575940617514653;720575940612149014;720575940631616056;720575940616758322;720575940619078091;720575940623955637;720575940625584484;720575940617511169;720575940632198442;720575940639260032;720575940612637554;720575940632803212;720575940624435128;720575940631253967;720575940610131012;720575940623973356;720575940610255058;720575940634545890;720575940621668428;720575940637136752;720575940623930211;720575940635249332;720575940627185064;720575940649743225;720575940631526215;720575940637623780;720575940627349860;720575940629832252;720575940610669614;720575940649154681;720575940614723495;720575940632043832;720575940611944914;720575940616169578;720575940621398254;720575940659447937;720575940637633678;720575940632416298;720575940624832743;720575940624264340;720575940640986075;720575940628914436;720575940616228213;720575940637666446;720575940644704160;720575940654851489;720575940613347793;720575940612475598;720575940619563429;720575940616197819;720575940620774326,54;33;11;8;6;5;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,232,67,720575940631930828:54;720575940604352172:33;720575940613127343:11;720575940632505359:8;720575940622052521:6,AL_L;AL_R
720575940613365650,Or2a,,ORN_DA4m,consolidated_cell_types.csv.gz,720575940604352172;720575940631930828;720575940623650823;720575940623788040;720575940631899223;720575940613365650;720575940623955637;720575940611382195;720575940622969096;720575940612149014;720575940616169578;720575940631975884;720575940632505359;720575940622014090;720575940617514653;720575940612461461;720575940625056509;720575940608345778;720575940617542996;720575940628822248;720575940627185064;720575940649045369;720575940623147959;720575940616831349;720575940659447937;720575940631619921;720575940631942341;720575940640986075;720575940615303391;720575940631236167;720575940614019112;720575940610131012;720575940619563429;720575940633741229;720575940633294796;720575940640803200;720575940617140765;720575940621449933;720575940627737365;720575940634995960;720575940631479570;720575940638607805;720575940623000858;720575940610669614;720575940634303132;720575940635249332;720575940637374441;720575940613590501;720575940625977802;720575940631253967;720575940638128474;720575940615607207;720575940613127343;720575940605758142;720575940605391794;720575940629443628;720575940624330281;720575940614429165;720575940622565514;720575940636753118;720575940611944914;720575940627690246;720575940637633678;720575940637666446;720575940623973356;720575940632403986;720575940623636701;720575940627349860;720575940623572164;720575940606751922;720575940614723495;720575940624264340;720575940634414231;720575940625283770;720575940660217473;720575940621398254;720575940622052521;720575940628420264,65;24;6;5;5;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,244,78,720575940604352172:65;720575940631930828:24;720575940623650823:6;720575940623788040:5;720575940631899223:5,AL_L;AL_R;EB
720575940614019112,Or2a,,ORN_DA4m,consolidated_cell_types.csv.gz,720575940604352172;720575940623650823;720575940632505359;720575940614019112;720575940634545890;720575940633294796;720575940621585279;720575940637136752;720575940617299131;720575940618304670;720575940623146701;720575940624832743;720575940626115134;720575940651758838;720575940628059978;720575940616758322;720575940605758142;720575940608928324;720575940625977802;720575940615513086;720575940634414231;720575940621551854;720575940619078091;720575940615794619;720575940632821059;720575940617511169;720575940630696901;720575940626357586;720575940634984372;720575940623955637;720575940640803200;720575940619563429;720575940612149014;720575940615558598;720575940616831349;720575940641783029;720575940632803212;720575940634955188;720575940654851489;720575940635249332;720575940634303132,20;7;7;6;4;4;4;4;3;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,102,41,720575940604352172:20;720575940623650823:7;720575940632505359:7;720575940614019112:6;720575940634545890:4,AL_L;AL_R;CRE_R;EB
720575940614723495,Or2a,,ORN_DA4m,consolidated_cell_types.csv.gz,720575940604352172;720575940631930828;720575940614723495;720575940649045369;720575940616169578;720575940621398254;720575940644362788;720575940620774326;720575940631975884;720575940633741229;720575940628420264;720575940611671506;720575940612149014;720575940622969096;720575940632505359;720575940640986075;720575940624330281;720575940623572164;720575940640803200;720575940623788040;720575940608345778;720575940612475598;720575940620565313;720575940620337072;720575940632795532;720575940636753118;720575940612461461;720575940617514653;720575940623955637;720575940623973356;720575940617542996;720575940638128474;720575940627927573;720575940617586757;720575940638288447;720575940633294796;720575940630960780;720575940616831349;720575940623248883;720575940624264340;720575940608241365;720575940637136752;720575940659447937;720575940631615800;720575940628343634;720575940623650823;720575940611379569;720575940619061662;720575940637666446;720575940627675535;720575940611382195;720575940628822248;720575940611944914;720575940625056509;720575940616228213;720575940616197819;720575940623147959;720575940622052521;720575940631479570;720575940618368441;720575940616758322;720575940632043832;720575940614019112;720575940617140765;720575940627737365,40;33;13;7;6;6;6;4;4;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,212,65,720575940604352172:40;720575940631930828:33;720575940614723495:13;720575940649045369:7;720575940616169578:6,AL_L;AL_R;EB
720575940616228213,Or2a,,ORN_DA4m,consolidated_cell_types.csv.gz,720575940631930828;720575940604352172;720575940616228213;720575940616758322;720575940632198442;720575940644362788;720575940619078091;720575940608970197;720575940632505359;720575940637136752;720575940629963855;720575940623248883;720575940624435128;720575940640803200;720575940605758142;720575940619563429;720575940634414231;720575940625584484;720575940630225403;720575940628343634;720575940636753118;720575940629942343;720575940612637554;720575940617511169;720575940614723495;720575940625977802;720575940637633678;720575940640986075;720575940623955637;720575940622969096;720575940634545890;720575940610408643;720575940622052521;720575940619059102;720575940613365650;720575940633294796;720575940615073587;720575940623576141;720575940610669614;720575940622812799;720575940623650823;720575940619931119;720575940635249332;720575940632043832;720575940623930211;720575940628914436;720575940623636701;720575940616197819;720575940631616056;720575940623146701;720575940621585279;720575940623788040;720575940611114389;720575940629089068;720575940611944914;720575940619388062;720575940611382195;720575940649743225;720575940627318696;720575940621674108;720575940630960780;720575940631236167;720575940632190765;720575940623366102;720575940639260032,39;27;10;5;5;5;4;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,185,65,720575940631930828:39;720575940604352172:27;720575940616228213:10;720575940616758322:5;720575940632198442:5,AL_L;AL_R;EB
720575940616831349,Or2a,,ORN_DA4m,consolidated_cell_types.csv.gz,720575940604352172;720575940631930828;720575940616169578;720575940623788040;720575940611944914;720575940629443628;720575940623650823;720575940616831349;720575940627927573;720575940659447937;720575940632043832;720575940624264340;720575940623955637;720575940612461461;720575940610669614;720575940613365650;720575940638128474;720575940623572164;720575940632505359;720575940620337072;720575940644362788;720575940628420264;720575940621398254;720575940617514653;720575940637374441;720575940637666446;720575940623147959;720575940654851489;720575940635249332;720575940611671506;720575940625977802;720575940627185064;720575940640830453;720575940631236167;720575940605758142;720575940622014090;720575940620774326;720575940612149014;720575940630838570;720575940610255058;720575940615171084;720575940633294796;720575940621449933;720575940631619921;720575940633741229;720575940616228213;720575940623000858;720575940650003577;720575940611382195;720575940613127343;720575940649045369;720575940630571052;720575940614723495;720575940608241365;720575940610131012;720575940612475598;720575940631479570;720575940616320699;720575940616197819;720575940628822248;720575940633483807;720575940630960780;720575940627690246;720575940631964371;720575940635850488;720575940615708482;720575940617542996;720575940627737365;720575940639260032;720575940619931119;720575940631975884;720575940615513086;720575940612907121;720575940631899223,60;32;10;6;6;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,244,74,720575940604352172:60;720575940631930828:32;720575940616169578:10;720575940623788040:6;720575940611944914:6,AL_L;AL_R;EB
